"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/27/2021","AQS","060371103","9","0.5","ppb","0","Los Angeles-North Main Street","23","96.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/28/2021","AQS","060371103","9","0.5","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/29/2021","AQS","060371103","9","0.2","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/30/2021","AQS","060371103","9","0.3","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/31/2021","AQS","060371103","9","0.3","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/01/2021","AQS","060371103","9","0.4","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/02/2021","AQS","060371103","9","0.8","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/03/2021","AQS","060371103","9","0.9","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/04/2021","AQS","060371103","9","0.3","ppb","0","Los Angeles-North Main Street","21","88.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/05/2021","AQS","060371103","9","0.4","ppb","0","Los Angeles-North Main Street","21","88.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/06/2021","AQS","060371103","9","0.4","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/07/2021","AQS","060371103","9","0.5","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/08/2021","AQS","060371103","9","0.5","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/09/2021","AQS","060371103","9","0.3","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/10/2021","AQS","060371103","9","0.4","ppb","0","Los Angeles-North Main Street","20","83.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"02/11/2021","AQS","060371103","9","0.4","ppb","0","Los Angeles-North Main Street","18","75.0000","42401","Sulfur dioxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
