,Unnamed: 0,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
5,2020.06,0.003,0.004,0.002,0.003,0.002,0.002,0.006,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.001
6,2020.07,0.002,0.003,0.002,0.003,0.002,0.002,0.004,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001
7,2020.08,0.003,0.004,0.002,0.003,0.003,0.002,0.004,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001
8,2020.09,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001
9,2020.1,0.003,0.003,0.002,0.004,0.003,0.002,0.003,0.004,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.001
10,2020.11,0.003,0.004,0.002,0.004,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.001
11,2020.12,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.001
12,2021.01,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.001
13,2021.02,0.003,0.004,0.002,0.004,0.002,0.003,0.004,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.002
14,2021.03,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.003,0.001
15,2021.04,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.004,0.003,0.002,0.002,0.004,0.003,0.003,0.003,0.003,0.002
16,2021.05,0.003,0.002,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.002,0.002,0.004,0.003,0.003,0.003,0.003,0.001
17,2021.06,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.002,0.002,0.004,0.003,0.003,0.003,0.003,0.001
18,2021.07,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.004,0.002,0.003,0.003,0.003,0.001
19,2021.08,0.003,0.003,0.001,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.004,0.002,0.003,0.003,0.003,0.001
20,2021.09,0.003,0.003,0.001,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.001
21,2021.1,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.004,0.002,0.003,0.003,0.003,0.001
22,2021.11,0.003,0.003,0.002,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.002
23,2021.12,0.003,0.003,0.002,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.001
24,2022.01,0.004,0.003,0.002,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.001
25,2022.02,0.003,0.003,0.002,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.003,0.001
26,2022.03,0.003,0.003,0.002,0.004,0.003,0.004,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.002
27,2022.04,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.001
28,2022.05,0.003,0.003,0.002,0.003,0.003,0.004,0.004,0.003,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.002
29,2022.06,0.002,0.003,0.001,0.003,0.002,0.003,0.004,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.001
30,2022.07,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.001
31,2022.08,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.001
32,2022.09,0.003,0.003,0.001,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.003,0.001
33,2022.1,0.003,0.003,0.001,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.003,0.001
34,2022.11,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.001
35,2022.12,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.003,0.002,0.003,0.003,0.003,0.001
