"Period",Total,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong-si,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gyeonggi,Gangwon,Gangwon,Gangwon,Gangwon,Gangwon,Gangwon,Gangwon,Gangwon,Gangwon,Gangwon,Gangwon,Gangwon,Gangwon,Gangwon,Gangwon,Gangwon,Gangwon,Gangwon,Gangwon,Chungbuk,Chungbuk,Chungbuk,Chungbuk,Chungbuk,Chungbuk,Chungbuk,Chungbuk,Chungbuk,Chungbuk,Chungbuk,Chungbuk,Chungbuk,Chungnam,Chungnam,Chungnam,Chungnam,Chungnam,Chungnam,Chungnam,Chungnam,Chungnam,Chungnam,Chungnam,Chungnam,Chungnam,Chungnam,Chungnam,Chungnam,Jeonbuk,Jeonbuk,Jeonbuk,Jeonbuk,Jeonbuk,Jeonbuk,Jeonbuk,Jeonbuk,Jeonbuk,Jeonbuk,Jeonbuk,Jeonbuk,Jeonbuk,Jeonbuk,Jeonbuk,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Jeonnam,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongbuk,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Gyeongnam,Jeju Special Self-governing Province,Jeju Special Self-governing Province,Jeju Special Self-governing Province
"2015.02",75,84,63,66,84,59,68,64,-,79,78,86,100,87,87,82,88,97,89,88,92,87,93,85,96,94,101,81,78,82,88,103,79,97,108,97,89,87,94,87,88,-,-,-,-,95,74,109,64,53,-,-,-,-,-,-,-,-,-,85,-,-,84,78,85,-,69,-,-,-,-,-,81,78,65,71,46,-,-,-,-,-,-,-,-,-,-,-,67,-,73,71,75,75,70,68,-,-,-,-,-,-,-,73,-,52,55,50,46,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,-,-,-,-,62,70,76,61,74,82,71,-,-,-,-,-,-,-,-,-,-,-,-,68,63,-,70,-,69,58,69,56,60,-,-,-,-,-,-,-,-,-,-,-,64,63,55,61
"2015.03",68,71,56,61,73,64,68,59,-,70,67,76,85,71,76,94,70,81,76,77,77,79,80,73,80,83,85,77,64,75,82,100,84,89,91,89,78,91,80,73,78,-,-,-,-,81,72,94,66,55,-,-,-,-,-,-,-,-,-,77,-,-,82,71,76,-,60,-,-,-,-,-,77,71,63,69,58,-,-,-,-,-,-,-,-,-,-,-,66,-,76,73,86,74,74,74,-,-,-,-,-,-,-,77,-,45,51,45,50,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,59,65,77,54,59,79*,68,-,-,-,-,-,-,-,-,-,-,-,-,63,56,-,64,-,67,52,62,53,50,-,-,-,-,-,-,-,-,-,-,-,57,62,53,59
"2015.04",47,45,48,42,54,40,40,49,-,45,49,50,56,46,51,60,43,51,48,50,50,52,55,52,47,51,57,49,39,51,50,65,49,57,55,58,46*,58,46,43,51,-,-,-,-,49,55,54,51,44,-,-,-,-,-,-,-,-,-,51,-,-,46,41,43,-,37,-,-,-,-,-,44,41,44,45,42,-,-,-,-,-,-,-,-,-,-,-,43,-,45,45,52,46,43,45,-,-,-,-,-,-,-,47,-,34,38,35,41,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,-,-,-,-,46,43*,47,48,38,42,46,-,-,-,-,-,-,-,-,-,-,-,-,45,47,-,52,-,49,40,55,44,33,-,-,-,-,-,-,-,-,-,-,-,47,48,47,47
"2015.05",50,45,56,48,52,41,49,57,-,47,47,50,55,46,49,67,43,50,49,50,51,60,52,50,48,55,52,52,40,54,46,62,59,69,57,57,64*,52,47,48,51,-,-,-,-,53,54,62,52,52,-,-,-,-,-,-,-,-,-,55,-,-,57,45,51,-,46,-,-,-,-,-,52,47,45,45,49,-,-,-,-,-,-,-,-,-,-,-,46,-,49,44,58,51,50,45,49,-,-,-,-,-,-,50,-,39,45,37,36,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,-,-,-,-,49,52,50,51,46,44,47,-,-,-,-,-,-,-,-,-,-,-,-,49,51,-,56,-,55,47,61,46,40,-,-,-,-,-,-,-,-,-,-,-,51,42,43,42
"2015.06",43,35,49,47,42,41,40,50,-,37,40,41,41,35,40,53,34,36,41,40,41,49,42,40,36,44,42,41,31,45,38,46,41,53,42,44,45,33,29,33,41,-,-,-,-,37,43,44,38,46,-,-,-,-,-,-,-,-,-,41,-,-,47,34,37,-,35,-,-,-,-,-,42,51,41,38,34,-,-,-,-,-,-,-,-,-,-,-,42,-,45,40,54,55,49,42,48,-,-,-,-,-,-,47,-,36,45,39,36,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,-,-,-,-,44,47,46,54,33,32,44,-,-,-,-,-,-,-,-,-,-,-,-,44,50,-,53,-,55,44,53,48,39,-,-,-,-,-,-,-,-,-,-,-,49,41,40,41
"2015.07",34,30,37*,34,34*,31*,31*,38,-,29*,29**,36,35,29,30*,41,27,32,32,33,59**,41,34,33,30**,35,33,33,61**,41,32,44,32,47,32**,43,32,25,20*,24,34,-,-,-,-,32,34,33,26,38,-,-,-,-,-,-,-,-,-,33,-,-,39,25*,24,-,25,-,-,-,-,-,32*,35,43**,34**,22,-,-,-,-,-,-,-,-,-,-,-,32*,-,32,30,33,41,38,33,36,-,-,-,-,-,-,33,-,31*,35,29*,30,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34*,-,-,-,-,34,33,31,43,23,24,35,-,-,-,-,-,-,-,-,-,-,-,-,33,38*,-,42,-,46,38*,38*,35,32,-,-,-,-,-,-,-,-,-,-,-,39,36,30,34
"2015.08",37,34,39*,37,42*,29*,32*,38*,-,37,36*,39,43**,36,37*,45,34,35,35*,39,39,42,39*,39,33,44*,38,46**,39,42,37,43,39,52,36*,47,33,31,23,-,38,-,-,-,-,38,37,38*,36**,67**,-,-,-,-,-,-,-,-,-,38*,-,-,38,26,30,-,29,-,-,-,-,-,34,38*,34,40,32**,-,-,-,-,-,-,-,-,-,-,-,37*,-,31,32,33,34,37,35,36,-,-,-,-,-,-,33,-,30,36*,28*,32*,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,37*,38*,-,-,30,26,31,-,-,-,-,-,-,-,-,-,-,-,-,35*,39,-,40*,-,45,36,38,44**,32,-,-,-,-,-,-,-,-,-,-,-,38,39,29,35
"2015.09",30,28,29*,30,38*,25*,27,28*,-,32*,30*,32,38,30**,34*,39*,27**,27*,33,32**,32,28**,36,28*,25,37*,36*,38,28,40*,32*,-,30,41**,40,39*,-,20**,-,26,33*,-,-,-,-,32,34,29,19,20,-,-,-,-,-,-,-,-,-,28,-,-,33*,-,23,-,-,-,-,-,-,-,31**,31,32,37,12,-,-,-,-,-,-,-,-,-,-,-,30,-,28,27,27**,-,-,-,35,-,-,-,-,-,-,29*,-,22*,26,24,25,39**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25*,-,-,-,-,34*,32,28*,17*,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30*,31,-,37,-,25**,28*,30**,35,24,-,-,-,-,-,-,-,-,-,-,-,31,33,34,33
"2015.10",48,44,43*,43,53,49*,50,43*,-,56,51*,52,41,56**,55,75*,49,-,52,50**,54,56**,56,57**,42,55*,55*,61,49,67**,-,60,-,-,59,-,72*,-,53**,45,54*,-,-,-,-,52*,47,45*,32,30,-,-,-,-,-,-,-,-,-,42*,-,-,57,46,44,-,43,-,-,-,-,-,52,56,43,53,23,-,-,-,-,-,-,-,-,-,-,-,47,-,54**,46**,71,50,61*,58,59,-,-,-,-,-,-,60*,-,37,41,39,53*,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,-,-,-,-,39*,45*,48,24,35,49*,55*,-,-,-,-,-,-,-,-,-,-,-,-,41*,46*,-,58,-,48,40,41,43,32*,-,-,-,-,-,-,-,-,-,-,-,45,51,32**,50*
"2015.11",36,33,33,34,41,35,37,31,-,41,40,38,40,37,43,51,36,40*,35**,40,43,39,43,37,33,37,45,44,38,41*,40*,41,31*,28*,44,47*,42,33**,35,34,40,-,-,-,-,41,39,38,24,28,-,-,-,-,-,-,-,-,-,35,-,-,45,32,33,-,33,-,-,-,-,-,40,42,35,39,44,-,-,-,-,-,-,-,-,-,-,-,39,-,43*,37*,51,33,42,46,47,-,-,-,-,-,-,43,-,24,28,28,37,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,30,34,39,18,30,39,37,-,-,-,-,-,-,-,-,-,-,-,-,32,36,-,38,-,29,34,31*,35,30**,-,-,-,-,-,-,-,-,-,-,-,35,41*,27**,38*
