,Unnamed: 0,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
5,2020.06,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.3
6,2020.07,0.4,0.3,0.4,0.4,0.3,0.3,0.4,0.5,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.3,0.2
7,2020.08,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.2
8,2020.09,0.4,0.4,0.3,0.4,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.3
9,2020.1,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.3
10,2020.11,0.6,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.3
11,2020.12,0.6,0.4,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.3
12,2021.01,0.6,0.4,0.5,0.6,0.5,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.3
13,2021.02,0.6,0.4,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.3
14,2021.03,0.5,0.4,0.4,0.6,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3
15,2021.04,0.4,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3
16,2021.05,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3
17,2021.06,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3
18,2021.07,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2
19,2021.08,0.4,0.3,0.3,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.2
20,2021.09,0.4,0.3,0.3,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.2
21,2021.1,0.4,0.3,0.3,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3
22,2021.11,0.6,0.4,0.4,0.6,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.3
23,2021.12,0.6,0.4,0.5,0.6,0.6,0.6,0.4,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.3
24,2022.01,0.6,0.4,0.5,0.6,0.5,0.6,0.4,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.3
25,2022.02,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.3
26,2022.03,0.5,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.3
27,2022.04,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.4,0.3,0.4,0.3
28,2022.05,0.4,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.2
29,2022.06,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2
30,2022.07,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.2
31,2022.08,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3
32,2022.09,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2
33,2022.1,0.4,0.3,0.3,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.2
34,2022.11,0.5,0.3,0.4,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.3
35,2022.12,0.5,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3
